iter	MAPE	RMSE
415	0.309265183	339.2185722
416	0.3091734627	338.9797413
417	0.3089068093	338.8994752
418	0.3086284666	338.803161
419	0.3083731887	338.6262828
420	0.30811201	338.4940536
421	0.3079412694	338.4302612
422	0.307579464	338.269223
423	0.307426176	338.1125637
424	0.3073966703	337.9506165
425	0.3073087349	337.7952171
426	0.3071940475	337.6928721
427	0.3070150901	337.5294886
428	0.3069452509	337.4689621
429	0.3068863521	337.3760135
430	0.3067744935	337.3434086
431	0.3067120054	337.2823072
432	0.3065294405	337.0792159
433	0.3065382096	337.0374453
434	0.3063462075	336.8188332
435	0.3062648266	336.7764444
436	0.3061424473	336.6458357
437	0.3059670004	336.552493
438	0.3058224837	336.4641195
439	0.30572644	336.4418847
440	0.3054551404	336.1924847
441	0.3053677367	336.1173245
442	0.3052032608	335.821271
443	0.3050815207	335.722962
444	0.3048339691	335.5926538
445	0.304714503	335.4305716
446	0.3045071153	335.3033605
447	0.3045101658	335.3024741
448	0.3042842541	335.0267254
449	0.3039620417	334.8576788
450	0.3038033254	334.760379
451	0.303615929	334.6479626
452	0.3034100531	334.4348129
453	0.3033246254	334.3535032
454	0.3029943389	334.2751721
455	0.3028153211	334.1600296
456	0.3028163274	334.0647007
457	0.3026241474	333.6012452
458	0.3023822996	333.1906683
459	0.3022920022	332.9497593
460	0.3022675975	332.7650295
461	0.3021255612	332.6188999
462	0.3020565675	332.5186459
463	0.301887832	332.482568
464	0.3015852402	332.4043499
465	0.3014963037	332.2937052
466	0.3014083692	332.2095805
467	0.3012489182	331.8613727
468	0.3011708991	331.8005589
469	0.3010719881	331.7674255
470	0.3009761471	331.6548243
471	0.300824428	331.4048572
472	0.3007365328	331.3670306
473	0.3006915238	331.2542507
474	0.3004892955	330.8998375
475	0.3004521918	330.8133758
476	0.3003520149	330.558596
477	0.300212973	330.3205612
478	0.3000399996	330.2021132
479	0.2999933808	330.0431961
480	0.2997933909	329.7459454
481	0.2996597668	329.7112843
482	0.2993171449	329.6364094
483	0.298988762	329.3903056
484	0.2989489218	329.249749
485	0.2988551165	329.0638781
486	0.2987026644	328.5900412
487	0.2985503198	328.4577757
488	0.2983761734	328.3759474
489	0.2982829308	328.1954986
490	0.2982297882	328.1086471
491	0.298029593	328.0307254
492	0.2980402873	327.955584
493	0.2980198272	327.8241389
494	0.297754815	327.7514286
495	0.2977091134	327.6804606
496	0.2976091581	327.5846006
497	0.2976013831	327.5034564
498	0.297566834	327.4101917
499	0.2972801686	327.292453
500	0.2971954396	327.1062664
501	0.2972016786	327.1016145
502	0.2971331213	327.0523585
503	0.2970676268	327.0022788
504	0.297019612	326.9863952
505	0.2969227286	326.8547165
506	0.2968968908	326.8216803
507	0.2968732914	326.8084746
508	0.2965901903	326.7403677
509	0.2964072356	326.7082301
510	0.2961408931	326.5595993
511	0.2957680399	326.3872611
512	0.2957080727	326.2891781
513	0.2954695238	326.0425415
514	0.2952378959	325.6759949
515	0.2950191344	325.5985069
516	0.2950055876	325.5887296
517	0.2950064652	325.5405773
518	0.2948852717	325.4290916
519	0.2947348796	325.3591952
520	0.2945819052	325.296326
521	0.2945591616	325.2848165
522	0.2944836974	325.1850484
523	0.2944208084	325.1236893
524	0.2942367633	324.9221812
525	0.2941220389	324.7962071
526	0.2940246771	324.6050331
527	0.2938109896	324.2158548
528	0.2935370105	324.000136
529	0.2933493341	323.8333626
530	0.2932809253	323.7531147
531	0.2932072407	323.717184
532	0.2932300575	323.5089505
533	0.2930373536	323.4168318
534	0.2929982644	323.3844801
535	0.2928497303	323.1922756
536	0.2928499652	323.1857294
537	0.2924400136	323.1246304
538	0.2922351303	323.0766482
539	0.2920897498	323.0036769
540	0.2919061764	322.858457
541	0.2918799444	322.7653382
542	0.2915276481	322.3898511
543	0.2913479462	322.3243405
544	0.2912083381	322.2564782
545	0.2911181965	322.1969133
546	0.291008649	321.9164102
547	0.290903747	321.8460146
548	0.2908330879	321.8106546
549	0.2906214148	321.4778343
550	0.2905259483	321.3249867
551	0.2903696191	320.8798843
552	0.2902007131	320.7854605
553	0.2902014562	320.751594
554	0.2901212942	320.7060863
555	0.2900166788	320.6560353
556	0.2898581125	320.6046633
557	0.2897210583	320.3492873
558	0.2896133583	320.2951712
559	0.2894042412	320.1317746
560	0.2890583791	320.0063616
561	0.2889357413	319.843592
562	0.2888420377	319.77563
563	0.2887239177	319.6895292
564	0.2886979895	319.6445463
565	0.2886648005	319.5619842
566	0.2884721229	319.5039954
567	0.2884042267	319.3771873
568	0.288202163	319.0431974
569	0.2881101548	318.9045568
570	0.2879920182	318.7885336
571	0.2879155951	318.731287
572	0.2878257132	318.6809416
573	0.2875713811	318.5286692
574	0.2874464608	318.3171849
575	0.287273025	318.0694355
576	0.2872259084	317.9040446
577	0.2871212604	317.7879619
578	0.2869151314	317.6945199
579	0.2868800504	317.6166136
580	0.2867869053	317.3151703
581	0.286515565	317.108098
582	0.2864019571	316.915142
583	0.2863131454	316.8902425
584	0.2860654624	316.5393765
585	0.2860136583	316.4606777
586	0.2859580389	316.4165996
587	0.2858889884	316.3911103
588	0.2858179257	316.206341
589	0.2857969881	316.0978067
590	0.2856817443	315.9899733
591	0.2854250233	315.6787321
592	0.2853015852	315.5667977
593	0.2851738536	315.4781352
594	0.2851588873	315.3546414
595	0.2849783238	315.1996445
596	0.2849286356	315.0931562
597	0.2849179721	315.0105255
598	0.2848354961	314.9734553
599	0.2847968954	314.9410083
600	0.2847433742	314.9102559
601	0.2846462279	314.84692
602	0.2845119212	314.7011091
603	0.2843607974	314.6579118
604	0.2841893656	314.5855917
605	0.2840266624	314.4945566
606	0.2838974124	314.3687434
607	0.2837858674	314.3033771
608	0.2837209458	314.2312511
